RespondentID,Cluster,Persona
967,2,Smart Savers
968,2,Smart Savers
969,1,Premium-Ready Professionals
970,2,Smart Savers
971,0,Financially Stressed Beginners
972,0,Financially Stressed Beginners
973,0,Financially Stressed Beginners
974,2,Smart Savers
975,2,Smart Savers
976,0,Financially Stressed Beginners
977,0,Financially Stressed Beginners
978,2,Smart Savers
979,0,Financially Stressed Beginners
980,0,Financially Stressed Beginners
981,1,Premium-Ready Professionals
982,1,Premium-Ready Professionals
983,1,Premium-Ready Professionals
984,2,Smart Savers
985,2,Smart Savers
986,1,Premium-Ready Professionals
987,2,Smart Savers
988,0,Financially Stressed Beginners
989,2,Smart Savers
990,2,Smart Savers
991,2,Smart Savers
992,0,Financially Stressed Beginners
993,2,Smart Savers
994,1,Premium-Ready Professionals
995,1,Premium-Ready Professionals
996,2,Smart Savers
997,1,Premium-Ready Professionals
998,0,Financially Stressed Beginners
999,1,Premium-Ready Professionals
1000,1,Premium-Ready Professionals
